@type	@id	@lat	@lon	name	addr:city
node	301620832	47.7154403	9.2362658	Schilfhütte	Uhldingen-Mühlhofen
node	302080202	-25.7087873	28.3090980	Pick n Pay	Pretoria
node	302089512	-25.6772505	28.2401446	Pick n Pay	Pretoria
node	302092694	-25.6791000	28.2173800	Pick n Pay	Pretoria
node	302859830	-33.9803458	25.5986113	Pick n Pay	
node	303179159	-38.0037393	-57.5619972	Teatro El Galpón de las Artes	Mar del Plata
node	303319474	52.4905098	13.4260706	Vettern Bar	Berlin
node	303787264	-25.9074092	28.1416297	Pick n Pay Family	
node	303800502	-25.8792858	28.1628120	Pick n Pay Hyper	Pretoria
node	305737670	48.1356141	11.5839709	Vegelangelo	München
node	305745583	-26.0424787	28.0142490	Pick n Pay	Bryanston
node	305745822	-26.0185400	28.0110900	Pick n Pay	Johannesburg
node	305770954	-26.0388600	27.9933400	Pick n Pay	
node	305949689	46.5574492	15.6377796	Jack & Joe Steak and Burger Club	Maribor
node	306250479	49.2731589	16.9964323	Hotel Selský Dvůr	Vyškov
node	306390611	52.2896857	8.0210416	Backstein	Osnabrück
node	308507981	49.5012503	8.5407502	Diego's Trattoria Pizzeria	Mannheim
node	310598863	46.0055659	8.9478876	Hotel Federale	Lugano
node	310742189	46.0005999	8.9491731	Antonioli	Lugano
node	310742191	46.0006368	8.9494202	Antonioli Boutique Donna	Lugano
node	310743333	46.0016783	8.9495089	IMAGO Art Gallery	Lugano
node	311105338	50.1064654	14.3868968	Na Kotlářce	Praha
node	311108503	50.0921055	6.8075711	Tankstelle Simons	Manderscheid
node	313110253	41.7864545	44.7688646	ვისოლ	
node	314787249	50.0811257	14.4067463	Kolkovna Olympia	Praha
node	315017360	50.1067560	14.4923282	Kozlovna Na Ráně	
node	316549314	14.6773948	121.2440510	Mount Purro Nature Camp	
node	316725404	50.0509104	14.4415362	Rangoli Pankrác	Praha
node	316806703	50.0403362	14.4104117	Na Jezerce	
node	317253291	48.9401898	12.2015310	Avia	Köfering
node	318401876	-25.8850700	28.2036500	Pick n Pay	Southdowns
node	319864033	50.0775321	14.4586496	U Tří prasátek	
node	320245519	50.0823021	14.4576402	Plzeňka Olše	
node	321885443	50.1874601	17.1086174	Chata Jiřího na Šeráku	
node	323130490	-29.7931986	30.8339236	Pick n Pay	Durban
node	326308370	46.0036950	8.9538428	McDonald's	Lugano
node	330661445	50.1077321	14.4024325	U Pramene	
node	331950046	50.1044460	14.3961949	U Pětníka	Praha 6
node	332058871	47.4267877	9.6580483	Lausbuöb	Lustenau
node	340388664	50.2473742	14.3159130	Šalanda	Kralupy nad Vltavou
node	341291582	48.1363016	11.5687733	Sushi Sano	München
node	343519450	51.3667687	7.0622891	Wechsel Bar	Essen
node	343696015	50.0751439	14.4293927	U Graffů	Praha
node	344785256	50.0431312	14.4541187	Na Kopečku	Praha
node	348792865	21.1195504	-101.6831258	Elektra	
node	355008187	50.0774501	14.4165386	Lemon Leaf	Praha
node	359898911	50.0771617	14.4314245	Demínka	Praha 2
node	360039737	50.0992057	14.4051761	Na Rozhraní	Praha 6
node	365316010	-25.8372152	28.2538385	Pick n Pay	Pretoria
node	365477146	50.0847283	14.4486671	Pizzeria Einstein	
node	367036024	46.0040648	8.9514821	Argentino	Lugano
node	367036060	46.0040121	8.9515108	Tango	Lugano
node	367106397	46.0118249	8.9664122	Farmacia Semper Fidelis	Viganello
node	373387470	-26.1010500	27.9403400	Pick n Pay	Randpark Ridge
node	373417055	46.0059129	8.9512761	Commercio	Lugano
node	373420246	46.0057527	8.9550285	Pestalozzi	Lugano
node	373424786	46.0067573	8.9557467	Bar Apollo	
node	373466992	-26.0852700	27.9472100	Pick n Pay	Boskruin
node	374255995	46.0029400	8.9503163	Farmacia Della Piazzetta	
node	376316392	49.1907020	16.5927707	Pivovar Starobrno	
node	385281216	-26.0286459	28.0600619	Pick n Pay	Sandton
node	391557771	53.7310249	9.8956695	New Empire Pizza Service	Quickborn
node	393140533	52.3551730	4.9289667	Kediri	Amsterdam
node	393361963	50.8414499	14.2139367	U Kosti	Dolní Žleb
node	408783078	45.4564731	9.1746390	Doppelgänger	Milano
node	409448741	41.7271703	44.7341864	ვისოლ	
node	411292282	41.7111629	44.7885173	ვისოლ	
node	411646086	51.3209752	6.4941416	Schatzinsel Schmuck und Goldankauf	Tönisvorst
node	415254524	46.0212857	8.9583644	Ristorante Stadio	Lugano
node	415865002	60.1645366	24.9327511	OSUVA Kamppi	Helsinki
node	417005868	46.0523717	8.9834022	Ristorante Miramonti	
node	417856704	45.8751426	11.0335673	Pizzeria Botti	Rovereto
node	418046194	13.6776824	-89.2535766	Siman la Gran Via	
node	418047067	13.6779923	-89.2511595	Super Selectos	
node	420053460	-26.1480269	28.0803804	Pick n Pay Hyper	Norwood JHB
node	420680235	46.0071902	8.9506221	AmazinGames	
node	420680237	46.0077378	8.9508969	Ash Food & Lounge lugano	
node	420776812	44.4952195	11.3246362	Lodi	Bologna
node	427698494	48.1096488	15.8823305	Land Gasthof zur Linde	
node	428790349	45.4572440	9.1529447	Seta Beauty	Milano
node	436360637	50.3257331	8.7561972	Privatpraxis für Physiotherapie Hoffmann	Friedberg (Hessen)
node	437183742	46.0206070	8.9653478	Phonext	Pregassona
node	441205302	51.4579388	-0.1661051	Hennessy's	London
node	443211907	13.7101817	-89.2025771	Hospital Centro de Diagnóstico	
node	446832915	-33.8047891	18.4840271	Pick n Pay	Sunningdale
node	449705982	50.0914382	14.4526485	Hong Kong Karlín	Praha 8
node	449736705	50.0946015	14.4531167		
node	449760187	48.9780665	14.4687438	Hadog	České Budějovice
node	449774351	50.0993172	14.4313988	Garuda	Praha 7
node	449786110	49.6063251	17.2817969	Gappa Solutions s.r.o.	Olomouc
node	452461938	48.2059194	16.3530613	Citybiker	Wien
node	455880346	-34.1245625	18.3894841	Pick n Pay	Noordhoek
node	456356700	48.7126723	9.4133977	Urfa Kebap	Plochingen
node	457337118	50.9351723	10.3898088	FTO Freie Tankstelle	Wutha-Farnroda
node	457634775	47.1744003	8.5133152	Meating	Zug
node	458807666	50.7207844	15.7260384	Bouda pod Snežkou	
node	460439096	-34.0886058	18.4820835	Pick n Pay	Muizenberg
node	460979230	51.4513203	7.4019835	Pino Pizzeria	
node	467125566	51.4828452	7.1121185	Trinkhalle Kiosk Amir (GLS -PaketShop)(DPD Pickup PaketShop)	Bochum
node	469067668	13.4934733	-89.3849535	Roca Sunzal Surf Resort	
node	472662968	50.0846899	14.4200603	Blatnice	
node	473037880	19.3949068	-99.1758289	FlowSuites WTC	Mexico City
node	477278864	49.7779546	15.0291465	Hotel Kácov	
node	478171457	49.2970950	17.3916331	Hospůdka Riegrovka	
node	480865184	-26.0667605	28.0737820	Pick n Pay	Gallo Manor
node	483413815	46.0190784	8.9570244	Grotta del Sale Lugano	
node	483417905	46.0125702	8.9547338	Farmacia Contrada dei Patrizi	Lugano
node	483628409	50.0452737	14.4491264	Kolkovna Budějovická	Praha
node	485640732	52.4973901	13.4653065	Zur Wilden Renate	Berlin
node	496611432	54.2240403	-4.6915520	Skillan Naylor Showroom	
node	497295325	48.3157600	10.8595420	Höfele	Augsburg
node	503836092	-25.4738698	30.9704641	Pick n Pay	
node	509047780	-34.1489858	22.1022714	Pick n Pay	Mossel Bay
node	512044005	49.3943271	15.5844786	Dělnický dům	
node	512336091	49.5920213	17.2522099	U červeného volka	
node	513553905	48.0245095	8.2270635	Zum Wilden Michel	Furtwangen im Schwarzwald
node	514064329	55.9580163	-3.2035270	St. Vincent Bar	Edinburgh
node	519147567	52.3798641	4.6318660	Café De Roemer	Haarlem
node	519147568	52.3798546	4.6319430	Café De Gooth	Haarlem
node	522194427	-25.7659998	28.3235260	Pick n Pay	Pretoria
node	522274910	-33.9316028	18.8604947	Pick n Pay Express	Stellenbosh
node	529132088	50.0891214	14.4312316	La Republica	Praha
node	529395227	-25.8236195	28.3110888	Pick n Pay	Moreletta Park
node	529446521	55.3858767	-119.6410850	Amendt Computer	
node	529836550	50.0771214	12.3722639	Dejavu	Cheb
node	531606669	-26.1459087	28.1560808	Pick n Pay	
node	549539702	54.2238775	-4.6926540	Roots by the Sea	Peel
node	552815635	52.4076949	16.9270247	Pluciński	Poznań
node	553837714	50.0859233	14.5129003	Malešická tvrz	Praha
node	556389724	47.9934868	7.8537455	Craftbeer Lodge	
node	564625834	50.1008874	14.4171779	Cukrárna Alchymista	
node	566051190	-33.9343475	18.4170954	Pick n Pay	"Gardens, Cape Town"
node	566637465	49.8696994	8.6500972	Grow	
node	567053857	-33.8739610	18.6191466	Pick n Pay	Welgemoed
node	567544614	-33.8826554	18.6810298	Pick n Pay	Brackenfell
node	567933478	52.1055074	6.0648388	De Tijd	Eerbeek
node	570049416	32.6465604	-16.8276776	O Laranjinha - Bistro & Grill	Canico
node	574739065	51.1473457	14.9791659	Bio im Bahnhof	Görlitz
node	581967824	41.7163125	44.7921458	ავერსი	
node	582799000	49.2630017	-123.1001530	Hotro - Home on the Range Organics	Vancouver
node	585219608	50.0905008	14.4414464	Pivovarský klub Benedict	Praha 8
node	588549143	-29.4962592	30.2336890	Pick n Pay	
node	590379618	-29.5830683	30.3784552	Pick n Pay	Pietermaritzburg
node	590475035	41.7125925	44.7514864	ავერსი	თბილისი
node	596107337	-33.7593345	25.4082487	Pick n Pay	Uitenhage
node	596597509	-33.8261363	18.4876143	Pick n Pay	Table View
node	596606260	-33.8326361	18.5152305	Boy de Goede Pick n Pay	
node	597752677	48.1326484	11.5773798	Niederlassung	München
node	597793082	-33.9702086	25.5265607	Pick n Pay	Port Elizabeth
node	599152744	50.8224697	-0.1418046	Boho Gelato	Brighton
node	599911712	49.4125772	14.6670148	ORIGINÁL 1869 Tábor	
node	606314989	-34.3918004	20.8256734	Witsand Marine & Auto	Witsand
node	607366795	49.2127031	16.5939331	Šelepka	Brno
node	610543489	44.4081634	8.9306810	Locanda di Palazzo Cicala	Genova
node	611747243	13.6748929	-89.1905035	Texaco	
node	613530639	47.2649825	11.3880199	Posidonas	Innsbruck
node	614836106	-26.1277281	27.9673054	Pick n Pay	Johannesburg
node	619007597	-12.5780413	-38.0041699	Açu da Torre - Restaurante	Mata de São João
node	621458811	-27.7678969	30.7894345	Pick n Pay	Vryheid
node	623913279	43.7941266	11.1858298	Trattoria da Burde	Firenze
node	624637677	49.6332186	16.0786641	Klokočí	Kadov u Sněžného
node	632497165	13.6913235	-89.1299113	Super Selectos	
node	633584160	47.3782514	8.5479609	Café Oberstrass	Zürich
node	634914909	13.7043962	-89.2142411	Super Selectos Metrusur	
node	635481626	13.7140156	-89.2169424	Dollarcity	
node	635500094	13.9779958	-89.5617546	Selectos Santa	
node	635500096	13.9780234	-89.5618887	Cinepolis	
node	644188441	13.6984756	-89.2200689	Subway	
node	646995213	13.6971639	-89.1903752	Pollo Campestre	
node	650731822	50.7707379	15.0870970	S-Klub	Liberec
node	653094014	13.6984523	-89.1492264	Super Selectos	
node	656391305	50.4318225	15.8149563	Country restaurace	
node	656496035	50.6106417	15.6134602	Restaurace u Učíků	Vrchlabí
node	656667338	-25.9958845	28.1267927	Pick n Pay	Midrand
node	658553730	-33.8566818	18.6710527	Pick n Pay	Glengary
node	658995458	13.6794070	-89.2478571	Super Selectos	
node	659843427	50.8308188	14.9778625	Restaurace & Hotel Farma Vysoká	Chrastava
node	662825258	50.2266379	17.2060756	Gemer	
node	663434366	52.2937191	14.0639909	Die Neue Bühne	Bad Saarow
node	664094040	50.7240013	15.1664325	Kavárna DaFi	Jablonec nad Nisou
node	664587178	13.5913675	-89.2886172	Super Selectos Zaragoza	
node	665139867	-26.1251207	28.0338209	Pick n Pay	
node	668061696	47.0655048	15.4506131	realraum	Graz
node	671825377	48.8485516	2.3780692	Chez Camille	Paris
node	672511359	48.3621221	10.8969197	K41	Augsburg
node	673479109	50.3042401	16.3504350	Apartman for rent	Deštné v Orlických horách
node	678201218	13.4943172	-88.1736670	Pollo Campestre	
node	682307341	50.1192983	-5.5358214	Istanbul Turkish Barber Penzance	Penzance
node	689900587	-33.3658282	19.3158805	Pick n Pay	Ceres
node	690745748	-26.0910064	27.8719169	Pick n Pay	Ruimsig
node	691097418	50.0937661	14.3336519	Hospůdka Samota	
node	691614099	48.8646929	2.3500426	Khara Taki	Paris
